UC;AREA;ANO
RESEX do Rio Cajari;27080,1;2015
RESEX do Rio Cajari;19531,67;2016
RESEX do Rio Cajari;3218,48;2018
RESEX do Rio Cajari;4661,47;2019
RESEX do Rio Cajari;4931,07;2021
RESEX do Rio Cajari;1898,54;2022
RESEX do Rio Ouro Preto;323,97;2016
RESEX do Rio Ouro Preto;712,07;2017
RESEX do Rio Ouro Preto;25,06;2022
RESEX do Rio Ouro Preto;29,77;2023
RESEX Ipaú-Anilzinho;81,27;2017
RESEX Ituxi;8,87;2022
RESEX Lago do Cedro;2533,65;2011
RESEX Marinha da Baia do Iguapé;1,94;2023
RESEX Marinha do Delta do Parnaíba;63,62;2017
RESEX Renascer;294,62;2012
RESEX Renascer;372,52;2015
RESEX Rio Unini;0,04;2023
RESEX Rio Xingu;23,67;2023
RESEX Riozinho da Liberdade;1,39;2022
RESEX Riozinho da Liberdade;2,25;2023
RESEX Tapajós-Arapiuns;19,86;2017
RESEX Tapajós-Arapiuns;14,32;2022
RESEX Tapajós-Arapiuns;1246,12;2023
RESEX Verde para Sempre;1397,39;2012
RESEX Verde para Sempre;698,96;2015
RESEX Verde para Sempre;22933,51;2016
RESEX Verde para Sempre;11050,27;2023
REVIS das Veredas do Oeste Baiano;99,33;2012
REVIS das Veredas do Oeste Baiano;2638,87;2013
REVIS das Veredas do Oeste Baiano;49071,5;2014
REVIS das Veredas do Oeste Baiano;11236,4;2015
REVIS das Veredas do Oeste Baiano;4695,42;2016
REVIS das Veredas do Oeste Baiano;39767,39;2017
REVIS das Veredas do Oeste Baiano;321,24;2018
REVIS das Veredas do Oeste Baiano;52223,35;2021
REVIS das Veredas do Oeste Baiano;9177,28;2022
REVIS das Veredas do Oeste Baiano;4891,44;2023
REVIS das Veredas do Oeste Baiano;62697,3;2011
REVIS de Boa Nova;96,5;2017
REVIS de Boa Nova;76,24;2019
REVIS de Boa Nova;21,4;2023
REVIS de Una;102,52;2023
REVIS do Rio dos Frades;75,31;2019
REVIS do Rio dos Frades;38,93;2021
REVIS dos Campos de Palmas;3249,49;2016
REVIS dos Campos de Palmas;109,54;2017
REVIS dos Campos de Palmas;1046,07;2022
REVIS dos Campos de Palmas;2485,28;2023
REVIS das Veredas do Oeste Baiano;18139,17;2020
